awayTeam,homeTeam,awayScore,homeScore,team1points,team2points,team1TORating,team2TORating,team1RushMultiplier,team2RushMultiplier,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,spread
Raiders,Ravens,26,23,20.0,27.6,0.9140834263392859,2.6847205528846154,0.4694361907582624,1.4979420197011217,0.9019564473989168,1.1062540810250845,1.1757482275773496,1.0556018684155222,2.246837499676058,1.3106923096223706,3
Rams,Cardinals,10,41,21.799999999999997,22.200000000000003,2.109423291552198,0.9597875976562501,0.9223530566820086,1.3081649217269105,0.9864771680023298,1.0621946550305388,0.9916152878033891,1.0071712131673143,0.9587736029368883,1.0363740299512574,-31
Steelers,Broncos,13,6,21.049999999999997,22.35,0.9597875976562499,0.6518082157258065,0.9205078018095338,0.7683772544344842,0.9818142784501542,0.9523372140664311,0.9585159603342719,0.988454818392649,0.8090898327698314,0.9435917040610923,7
Bengals,Chiefs,25,26,23.15,25.1,0.9597875976562501,1.142604282924107,0.6458063915262184,0.984806172121845,0.9455991466303025,0.9974173121772076,1.2358172754102408,1.129641097909604,2.882513231368709,1.839511135381276,-1
Bears,Texans,13,19,20.15,21.8,0.9793750996492347,0.9694824218750001,0.8343484324177939,0.9909612106976065,0.965764814117609,0.99838435838299,0.7774282247954385,0.9788850543180933,0.28398900032270724,0.8987905315050614,-6
Falcons,Eagles,22,21,20.0,25.7,0.6676783288043477,1.421907552083333,0.9074632531764204,1.54958472029215,0.9822261987791391,1.1429283297977264,0.8779723000295907,0.8638665122794433,0.5216798601726865,0.4810976047638128,1
Patriots,Jets,3,24,20.3,22.1,1.3423602764423077,1.7773844401041667,0.9935953940626641,0.8274868490327459,0.998543838067902,0.9717218133587691,0.7032654666296978,0.9922312360855707,0.17202693873193828,0.9617550468040591,-21
Giants,Browns,21,15,20.65,20.1,1.4542236328125002,0.799822998046875,0.9114791086537094,0.9589460735685091,0.9826471376491372,0.9930640661284292,0.8678050216255707,0.9180193207125833,0.4921650776471503,0.6520172826489928,6
Packers,Titans,30,14,27.35,19.1,1.328425740700692,0.40116514008620685,1.3063566696952378,0.7752611791573754,1.0589743895512775,0.9511527530230484,0.8533979340965233,0.8988437721960926,0.45264521730136514,0.5867067279062184,16
Bears,Colts,16,21,21.6,21.85,1.142604282924107,0.6017477101293103,0.9582758334332175,1.2536031857133254,0.9918357330728809,1.0530228567354258,0.9003032327284857,0.9061332351310412,0.5914854255076978,0.6108861778033318,-5
Texans,Vikings,7,34,20.3,24.4,0.688019783266129,0.6529167330994898,0.6544503947710578,0.8763892449039619,0.9272808487112514,0.9791495492731809,1.0834002691135278,1.0295328691207384,1.4926043247836709,1.1566476580720795,-27
Eagles,Saints,15,12,25.45,19.0,1.59964599609375,0.8082421875,1.8189640050011653,0.8608145397601225,1.2001924535637474,0.9706863165569205,0.9347838353443324,0.7617316081142215,0.7137661845888786,0.25645424090650704,3
Chargers,Steelers,10,20,21.75,20.15,1.376039566532258,1.1997344970703125,0.7662701870091609,1.1177594736258625,0.9520131677069293,1.0249739942724636,0.9894163503171556,0.8572906763876279,0.9481900954630154,0.46306344939604344,-10
Broncos,Buccaneers,26,7,23.549999999999997,24.549999999999997,1.1225585937500002,0.69802734375,0.7630306930219184,1.03662690524881,0.9511054499455474,1.0072049429342556,1.0668690393316869,1.2315418696868623,1.38215121597805,2.832995648014186,19
Panthers,Raiders,36,22,21.8,24.55,1.3423602764423077,0.8569532121930804,0.8692260534580324,1.0176870360923604,0.9721522216234456,1.002395221843846,0.8069647141617403,1.0380650347302638,0.34219426328741603,1.2053767616211541,14
Dolphins,Seahawks,3,24,20.85,21.200000000000003,1.328425740700692,1.0664306640625,0.8921021870757051,0.6732171185592237,0.9811312358185342,0.9445235463439804,0.9617825838865234,1.0483448238112147,0.8229710207288403,1.2662538419242801,-21
Ravens,Cowboys,28,25,29.0,21.299999999999997,1.6619698660714284,0.9140834263392859,1.7959754665274694,0.5537523997779502,1.15757133451,0.9126092483725791,1.122335319867078,1.1957564822338385,1.780791819066462,2.4446332779864974,3
49ers,Rams,24,27,22.200000000000003,22.35,0.8725341796875,1.7371721224547512,1.1826247553859413,0.887865710887216,1.0325145683052377,0.9801651479106344,1.1181830190463302,0.8614364087884419,1.7480927170489702,0.4743687997335111,-3
Lions,Cardinals,20,13,27.549999999999997,21.0,2.109423291552198,0.8725341796875,1.2628601794152334,0.9889044112824302,1.0449831582634224,0.9974969760009438,1.1834110310259562,1.0813932989969732,2.3210156346246773,1.4788304024495227,7
Chiefs,Falcons,22,17,23.9,19.95,1.523472377232143,0.8345979110054348,0.9117150890346767,0.8544409749735834,0.984509605193892,0.9713650412761676,1.0888757887241705,1.0571503204437929,1.5307057254513083,1.3203337625397147,5
Jaguars,Bills,10,47,20.1,28.700000000000003,0.5384502651647967,5.3321533203125,0.8313700528165918,1.1898675378479366,0.9683082026938249,1.034185486971974,0.9774885234863563,1.278247784991156,0.8923974808220954,3.412520304939921,-37
Commanders,Bengals,38,33,27.5,25.8,1.0664306640625,1.1291618795955882,1.3994614024889376,0.8980847784499905,1.081829171269412,0.9863431975705468,1.0687243001362219,1.0886130519268176,1.3942107319622719,1.5288598827526985,5
Cowboys,Giants,20,15,22.7,22.05,0.9140834263392859,0.8309849330357142,0.9609232819676196,1.01797747348432,0.993851587094378,1.003370812305258,1.0008746410649432,0.9083107722813611,1.0043808619885468,0.6182616720498727,5
Saints,Falcons,24,26,21.799999999999997,22.549999999999997,1.1225585937500002,1.0432473887567935,0.9770739747277251,1.2090817865597707,0.995406558442454,1.0356871988300782,0.9573463578170232,1.1940224193713085,0.8041655178140663,2.426958815836441,-2
Rams,Bears,18,24,21.6,20.1,1.3423602764423077,1.3711251395089286,0.978853601920286,0.938822113506378,0.9964062245299252,0.9879306697077082,1.0343816343389856,0.8733877548002945,1.1841425984928318,0.5082009743204625,-6
Vikings,Packers,31,29,23.0,23.1,0.6304023629926108,0.7284915352229602,0.7598400707112071,0.8894128485328473,0.9570882441940147,0.9751849115967496,1.1354306303699866,1.1685651306684264,1.8871352623277549,2.1790370536526265,2
