awayTeam,homeTeam,awayScore,homeScore,season,team1points,team2points,pointDiff,team1TORating,TORatingDiff,team2TORating,team1RushMultiplier,team2RushMultiplier,RushMultDiff,AdjRushDiff,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,PassMultDiff,AdjPassDiff,FPI_diff,SOS_diff,AVGWP,totEfficiencyDiff,offEfficiencyDiff,defEfficiencyDiff,spread,spread_zscore
Chiefs,Patriots,23,16,0.0,21.15,22.8,-1.6500000000000021,0.9142089843750002,-0.5167268172554343,1.4309358016304345,0.7349138174077645,1.0700244144584021,-0.3351105970506376,-0.04981242768185501,0.9607502725999695,1.0105627002818245,0.9184713503957865,0.9928793815959885,0.6536241200614625,0.9649003424984042,-0.07440803120020201,-0.31127622243694164,4.699999999999999,-22.0,-1.0,1.2000000000000028,31.299999999999997,-28.799999999999997,7,0.4622326963680558
Steelers,Cardinals,23,17,0.0,22.85,20.75,2.1000000000000014,0.9679859834558824,0.24624204842298758,0.7217439350328948,0.851678083817538,1.0695349190486938,-0.21785683523115584,-0.04049400339916598,0.9728084655924011,1.013302468991567,0.9512094713819366,0.7658977566792845,0.7787191053381519,0.2635445183035879,0.18531171470265206,0.5151745870345641,-0.5,10.0,-4.0,10.699999999999996,-26.900000000000002,41.00000000000001,6,0.39484569735312286
Seahawks,Rams,12,28,0.0,24.05,24.75,-0.6999999999999993,1.028485107421875,0.38568191528320306,0.642803192138672,1.2199143413828712,0.865127440867942,0.3547869005149292,0.05823311331703063,1.0403013379734303,0.9820682246563996,0.9722841398166814,1.3440732624423843,0.8688924175831629,4.386465409161965,-0.37178912262570296,-3.517572991578802,-0.6000000000000001,-3.0,8.0,-2.4000000000000057,4.300000000000004,-8.800000000000004,-16,1.0876682809754024
Giants,Eagles,17,23,0.0,21.700000000000003,26.15,-4.449999999999996,0.747989169034091,-0.5935131449944415,1.3415023140285325,0.7442471769986484,1.0772005426763722,-0.3329533656777238,-0.05998340959411952,0.9533245700186229,1.0133079796127424,1.0204546552783027,1.146102474362887,1.1065436652909466,1.9775034539819842,-0.12564781908458422,-0.8709597886910376,-10.299999999999999,-4.0,6.0,-16.799999999999997,-14.100000000000001,-10.699999999999996,-6,0.4137982908260728
Jets,Ravens,21,42,0.0,17.450000000000003,27.8,-10.349999999999998,0.7898765625,-0.7773388392857142,1.5672154017857143,0.5758819361487719,1.4042713345121023,-0.8283893983633304,-0.18753481092415836,0.9218466939696728,1.1093815048938311,0.7295486310730128,0.8624593926899181,0.20666704719108556,0.47719213969177776,-0.1329107616169053,-0.27052509250069223,-16.1,5.0,22.0,-32.50000000000001,-38.400000000000006,-9.899999999999999,-21,1.4246032760500673
Patriots,Bengals,34,13,0.0,26.3,15.75,10.55,2.05697021484375,1.59986572265625,0.4571044921875001,1.2427974673389712,0.71019194587417,0.5326055214648012,0.08462679351528801,1.0343209400513442,0.9496941465360562,1.097817852821581,0.7459516517088512,1.5945988450853141,0.23096884340249657,0.3518662011127297,1.3636300016828176,15.5,7.0,-27.0,40.5,18.9,41.699999999999996,21,1.4056506825771173
Buccaneers,Lions,38,17,0.0,27.5,24.700000000000003,2.799999999999997,0.6689334032012195,-0.09763934767222748,0.766572750873447,0.864625394293882,0.5968690518400233,0.2677563424538587,0.05891857302770109,0.9828947567495674,0.9239761837218663,1.559745344775468,1.1926870964376508,9.231419577237423,2.4134183108933267,0.3670582483378171,6.818001266344096,7.5,-1.0,-7.0,9.700000000000003,-0.7000000000000028,26.9,21,1.4056506825771173
Bears,Packers,13,21,0.0,18.55,21.05,-2.5,1.0393112664473683,-0.9593642459514173,1.9986755123987856,0.8582729362364789,0.8977534081518934,-0.03948047191541448,-0.0058160160298809105,0.9759590991768218,0.9817751152067027,0.8665871348423269,0.9384940694482939,0.4887212090627122,0.7280440598938425,-0.07190693460596709,-0.23932285083113025,-4.0,-7.0,11.0,-13.0,-25.9,3.700000000000003,-8,0.5485722888559387
Texans,Titans,24,21,0.0,22.15,24.6,-2.450000000000003,0.9756380465662055,-0.34434283996454307,1.3199808865307485,1.0296033896643975,1.3195031238253894,-0.2898997341609919,-0.05442292132731863,1.0054133166424992,1.0598362379698179,1.0918321738986843,1.0839800455295145,1.5515988152685416,1.4966024015370165,0.007852128369169709,0.054996413731525085,-2.3000000000000003,3.0,5.0,-2.0,1.5,-10.0,3,0.19268470030832396
Broncos,Chiefs,3,23,0.0,18.450000000000003,24.0,-5.549999999999997,1.3415023140285325,-0.5944696528832323,1.9359719669117648,1.0448828633668044,0.8572711964316752,0.1876116669351292,0.028008505287241636,1.0081872070328484,0.9801787017456067,0.7807496591144546,1.1485983184550412,0.2901075399984344,1.9991292829899612,-0.36784865934058664,-1.7090217429915269,-15.7,-1.0,7.0,-22.500000000000007,-37.8,2.5,-20,1.3572162770351344
